16346
17.74	-22.282	1
17.741	-35.756	1
17.377	-16.703	1
10.736	-22.899	1
11	-23	1
11.367	-22.952	1
17.374	-28.647	1
17.373	-8.911	1
17.381	-26.572	1
0.276	-25.001	1
0.861	-20.337	1
0.447	-34.606	1
17.532	-37.213	1
17.694	-27.637	1
0.488	-25.313	1
0.445	-26.827	1
0.554	-22.98	1
0.26	-15.74	1
0.289	-36.407	1
0.605	-14.108	1
0.551	-15.635	1
17.685	-8.538	1
17.527	-17.485	1
17.38	-20.849	1
0.495	-23.261	1
8.982	-13.642	1
6.13	-8.669	1
8.982	-13.642	1
0.251	-29.775	1
17.53	-35.139	1
9	-5	1
9	-5	1
0.201	-34.56	1
17.692	-5.811	1
17.396	-8.394	1
17.477	-8.078	1
0.259	-33.962	1
3	-5	1
0.438	-16.954	1
17.382	-13.062	1
12.141	-8.698	2
17.694	-27.637	1
3	-5	1
0.2	-26.782	1
0.263	-32.46	1
0.555	-35.914	1
16.676	-13.86	2
17.433	-22.424	1
4.622	-5.019	1
0.452	-28.902	1
17.382	-5.269	1
16.676	-13.86	2
17.692	-5.811	1
10.647	-5.013	1
16.616	-16.453	1
11.824	-8.653	2
0.259	-26.184	1
17.741	-36.056	1
16.468	-16.737	1
17.385	-32.801	1
0.259	-28.278	1
1.009	-7.665	1
11.212	-22.695	1
17.525	-13.326	1
1.167	-20.323	1
0.55	-29.669	1
0.247	-21.987	1
5.828	-8.675	1
5.832	-13.315	1
0.548	-18.815	1
5.978	-9.443	1
0.247	-24.078	1
17.798	-37.238	1
17.547	-16.951	1
17.697	-33.337	1
0.547	-24.527	1
0.285	-30.701	1
17.49	-4.284	1
0.255	-12.129	1
0.442	-13.871	1
17.522	-28.896	1
0.545	-30.226	1
17.483	-25.256	1
17.535	-4.559	1
16.651	-16.989	1
0.429	-9.167	1
17.542	-26.819	1
0.259	-27.979	1
16.616	-16.453	1
17.697	-33.337	1
17.702	-29.168	1
17.741	-35.756	1
0.197	-16.91	1
17.388	-27.091	1
5.714	-17.197	1
5.814	-9.202	1
5.768	-16.934	1
0.446	-21.118	1
17.391	-34.877	1
17.082	-30.733	1
11.714	-17.194	2
17.484	-15.381	1
17.403	-17.225	1
17.703	-21.386	1
11.768	-16.932	2
0.596	-35.4	1
11.827	-13.329	2
11.224	-23.233	1
1	-11	1
0.687	-20.055	1
5.676	-13.058	1
0.745	-10.966	1
0.259	-16.312	1
14.763	-5.049	1
0.546	-14.646	1
0.546	-18.265	1
0.782	-19.837	1
0.521	-19.795	1
16.468	-16.737	1
16.645	-17.487	1
0.259	-4.346	1
1.238	-10.96	1
17.374	-9.43	1
0.54	-22.443	1
11.677	-13.056	2
17.433	-22.424	1
17.685	-8.538	1
17.741	-8.235	1
17.502	-20.584	1
0.861	-20.337	1
0.544	-21.885	1
17.511	-5.004	1
17.542	-26.819	1
17.535	-9.156	1
0.576	-9.957	1
17.387	-13.59	2
7.024	-23.258	1
17.704	-36.391	1
7.293	-23.177	1
0.259	-4.94	1
17.791	-17.499	1
0.543	-10.478	1
0.535	-6.862	1
17.568	-30.974	1
0.258	-8.54	1
17.526	-21.11	1
0.205	-28.889	1
17.547	-16.951	1
2.251	-3.192	1
2.224	-3.459	1
0.289	-36.407	1
17.428	-35.907	1
4.786	-4.752	1
0.687	-20.055	1
0.489	-19.092	1
10.801	-4.773	1
16.461	-16.191	1
14.937	-4.764	1
16.782	-16.716	1
17.723	-3.488	1
0.544	-23.968	1
0.289	-36.407	1
17.401	-36.95	1
4.353	-3.199	1
4.351	-3.461	1
0.259	-33.662	1
0.554	-33.832	1
17.535	-9.156	1
6.9	-3.52	1
6.883	-3.797	1
17.698	-7.335	1
7.752	-3.506	1
7.793	-3.757	1
17.401	-31.249	1
17.792	-35.15	1
17.545	-36.675	1
8.551	-3.19	1
8.525	-3.454	1
1.222	-7.857	1
0.242	-6.76	1
0.239	-6.412	1
17.703	-21.386	1
16.164	-3.792	1
16.196	-3.523	1
11.081	-23.487	1
14.829	-22.681	1
0.546	-12.013	1
11.396	-3.523	1
11.365	-3.795	1
15.581	-3.786	1
15.592	-3.519	1
0.453	-33.06	1
17.083	-16.706	1
1.063	-11.25	1
12.9	-3.52	2
12.883	-3.795	2
17.09	-31.245	1
